SUBFAMILY;TRIBE;GENUS HANDBOOK;SPECIES HANDBOOK;SP_reducido;HandbookSp;Sp;diet_Iris;diet_CVA
Sciurinae;Pteromyini;Aeretes;melanopterus;Aer_mel;Aeretes melanopterus;A.melanopterus;NO_INF;NO_INF
Sciurinae;Pteromyini;Aeromys;tephromelas;Aer_tep;Aeromys tephromelas;A.tephromelas;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Aeromys;thomasi;Aer_tho;Aeromys thomasi;A.thomasi;Frugivorous;chew_crush
Xerinae;Marmotini;Ammospermophilus;harrisii;Amm_har;Ammospermophilus harrisii;A.harrisii;Seeds_nuts;chew_crush
Xerinae;Marmotini;Ammospermophilus;interpres;Amm_int;Ammospermophilus interpres;A.interpres;Seeds_nuts;chew_crush
Xerinae;Marmotini;Ammospermophilus;leucurus;Amm_leu;Ammospermophilus leucurus;A.leucurus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Ammospermophilus;nelsoni;Amm_nel;Ammospermophilus nelsoni;A.nelsoni;mixed_feeder;mixed_feeder
Xerinae;Xerini;Atlantoxerus;getulus;Atl_get;Atlantoxerus getulus;A.getulus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Belomys;pearsonii;Bel_pea;Belomys pearsonii;B.pearsonii;Folivore;chew_crush
Sciurinae;Pteromyini;Biswamoyopterus;biswasi;Bis_bis;Biswamoyopterus biswasi;B.biswasi;NO_INF;NO_INF
Sciurinae;Pteromyini;Biswamoyopterus;laoensis;Bis_lao;Biswamoyopterus laoensis;B.laoensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Callosciurus;adamsi;Cal_ada;Callosciurus adamsi;C.adamsi;NO_INF;NO_INF
Callosciurinae;Callosciurini;Callosciurus;baluensis;Cal_bal;Callosciurus baluensis;C.baluensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Callosciurus;caniceps;Cal_can;Callosciurus caniceps;C.caniceps;Browser;chew_crush
Callosciurinae;Callosciurini;Callosciurus;erythraeus;Cal_ery;Callosciurus erythraeus;C.erythraeus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Callosciurus;finlaysonii;Cal_fin;Callosciurus finlaysonii;C.finlaysonii;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Callosciurus;inornatus;Cal_ino;Callosciurus inornatus;C.inornatus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Callosciurus;melanogaster;Cal_mel;Callosciurus melanogaster;C.melanogaster;Browser;chew_crush
Callosciurinae;Callosciurini;Callosciurus;nigrovittatus;Cal_nig;Callosciurus nigrovittatus;C.nigrovittatus;Frugivorous;chew_crush
Callosciurinae;Callosciurini;Callosciurus;notatus;Cal_not;Callosciurus notatus;C.notatus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Callosciurus;orestes;Cal_ore;Callosciurus orestes;C.orestes;Frugivorous;chew_crush
Callosciurinae;Callosciurini;Callosciurus;phayrei;Cal_pha;Callosciurus phayrei;C.phayrei;NO_INF;NO_INF
Callosciurinae;Callosciurini;Callosciurus;prevostii;Cal_pre;Callosciurus prevostii;C.prevostii;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Callosciurus;pygerythrus;Cal_pyg;Callosciurus pygerythrus;C.pygerythrus;Frugivorous;chew_crush
Callosciurinae;Callosciurini;Callosciurus;quinquestriatus;Cal_qui;Callosciurus quinquestriatus;C.quinquestriatus;Browser;chew_crush
Xerinae;Marmotini;Callospermophilus;lateralis;Cal_lat;Callospermophilus lateralis;C.lateralis;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Callospermophilus;madrensis;Cal_mad;Callospermophilus madrensis;C.madrensis;Seeds_nuts;chew_crush
Xerinae;Marmotini;Callospermophilus;saturatus;Cal_sat;Callospermophilus saturatus;C.saturatus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Cynomys;gunnisoni;Cyn_gun;Cynomys gunnisoni;C.gunnisoni;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Cynomys;leucurus;Cyn_leu;Cynomys leucurus;C.leucurus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Cynomys;ludovicianus;Cyn_lud;Cynomys ludovicianus;C.ludovicianus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Cynomys;mexicanus;Cyn_mex;Cynomys mexicanus;C.mexicanus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Cynomys;parvidens;Cyn_par;Cynomys parvidens;C.parvidens;mixed_feeder;mixed_feeder
Callosciurinae;Callosciurini;Dremomys;gularis;Dre_gul;Dremomys gularis;D.gularis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Dremomys;lokriah;Dre_lok;Dremomys lokriah;D.lokriah;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Dremomys;pernyi;Dre_per;Dremomys pernyi;D.pernyi;Browser;chew_crush
Callosciurinae;Callosciurini;Dremomys;pyrrhomerus;Dre_pyr;Dremomys pyrrhomerus;D.pyrrhomerus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Dremomys;rufigenis;Dre_ruf;Dremomys rufigenis;D.rufigenis;NO_INF;NO_INF
Sciurinae;Pteromyini;Eoglaucomys;fimbriatus;Eog_fim;Eoglaucomys fimbriatus;E.fimbriatus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Epixerus;ebii;Epi_ebi;Epixerus ebii;E.ebii;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Eupetaurus;cinereus;Eup_cin;Eupetaurus cinereus;E.cinereus;Folivore;chew_crush
Xerinae;Xerini;Euxerus;erythropus;Eux_ery;Euxerus erythropus;E.erythropus;mixed_feeder;mixed_feeder
Callosciurinae;Callosciurini;Exilisciurus;concinnus;Exi_con;Exilisciurus concinnus;E.concinnus;Bark_gleaner;chew_crush
