specimen;sp_short;sp_full;Min_age;Max_age
Ali_bri_XXXX_XXXX;Ali_bri;Aliveria brinkerinki;17.5;18
Ali_lut_XXXX_XXXX;Ali_lut;Aliveria luteyni;17.5;18
Amm_han_UWXX_33078;Amm_han;Ammospermophilus hanfordi;1.8;4.9
Amm_jun_UNSM_101755;Amm_jun;Ammospermophilus junturensis;10.3;13.6
Amm_sp._UOMN_5871;Amm_sp.;Ammospermophilus sp.;10.3;13.6
Arc_ore_UCMP_39093;Arc_ore;Arctomyoides oregonensis;13.6;15.97
Atl_bla_SAM_226;Atl_bla;Atlantoxerus blacki;16.7;16.7
Atl_bla_VR4A_137;Atl_bla;Atlantoxerus blacki;16.18;16.18
Atl_exi_XXV_19528;Atl_exi;Atlantoxerus exilis;16;16.9
Atl_maj_XXV_19531;Atl_maj;Atlantoxerus major;16;16.9
Atl_ori_XXV_19522;Atl_ori;Atlantoxerus orientalis;9.7;11.1
Bla_ulm_SMNS_44584_C6;Bla_ulm;Blackia ulmensis;20;22.4
Ced_c.w_UNSM_56406;Ced_c.w;Cedromus cf. wilsoni;33.3;33.9
Ced_war_UNSM_56422;Ced_war;Cedromus wardi;33.3;33.9
Ced_wil_UNSM_437795;Ced_wil;Cedromus wilsoni;33.3;33.9
Cyn_c.v_UMMP_61647;Cyn_c.v;Cynomys cf. vetus;1.8;4.9
Cyn_gun_TMMX_41228_1691;Cyn_gun;Cynomys gunnisoni;0.012;0.3
Cyn_lud_UMMP_31759;Cyn_lud;Cynomys ludovicianus;0.012;0.3
Cyn_nio_KUVP_55595;Cyn_nio;Cynomys niobrarius;0.012;0.3
Cyn_sap_UNSM_11760;Cyn_sap;Cynomys hibbardi;0.3;1.8
Cyn_sp1_KUVP_6704;Cyn_sp1;Cynomys? sp1;0;0.78
Cyn_sp2_NVPL_17919;Cyn_sp2;Cynomys sp2;0.012;0.3
Cyn_sp2_NVPL_17920;Cyn_sp2;Cynomys sp2;0.012;0.3
Cyn_sp2_NVPL_17921;Cyn_sp2;Cynomys sp2;0.012;0.3
Cyn_spi_SDSM_57100;Cyn_spi;Cynomys spispiza;1.8;4.9
Cyn_vat_UNSM_101817;Cyn_vat;Cynomyoides vatis;10.3;13.6
Dou_bjo_SDSM_56506;Dou_bjo;Douglassciurus bjorki;30.8;33.3
Dou_jef_AMNH_79307;Dou_jef;Douglassciurus jeffersoni;33.9;37.2
Dou_oax_IGMX_4911;Dou_oax;Douglassciurus oaxacaensis;37.8;41.2
For_gau_FSLX_65_425;For_gau;Forsythia gaudryi;7.246;11.608
Hes_jam_SDSM_56442b;Hes_jam;Hesperopetes jamesi;30.8;33.3
Hes_tho_USNM_417518;Hes_tho;Hesperopetes thoringtoni;33.9;37.2
Het_mar_PUR_13_216;Het_mar;Heteroxerus mariatheresae;3.2;5.332
Het_pau_SMNS_44583_A4;Het_pau;Heteroxerus aff. paulhiacensis;20.4;23
Het_rub_VA1A_241;Het_rub;Heteroxerus rubricati;14.64;14.64
Hyl_yan_XXV_11899;Hyl_yan;Hylopetes yani;4.2;4.9
Ict_mea_FHSM_18365;Ict_mea;Ictidomys meadensis;3.11;3.22
Ict_mea_KUVP_156258;Ict_mea;Ictidomys meadensis;1.95;2.14
Ict_tri_FHSM_VP_18159;Ict_tri;Ictidomys tridecemlineatus;0;0.78
Mar_min_UCMP_12538;Mar_min;Marmota minor;4.9;10.3
Mar_vet_YPMX_10323;Mar_vet;Marmota vetus;10.3;13.6
Mio_alb_FSLX_65_383;Mio_alb;Miopetaurista albanensis;7.246;11.608
Mio_alb_MSXX_;Mio_alb;Miopetaurista albanensis;7.246;11.608
Mio_bry_KUKU_10149;Mio_bry;Miospermophilus bryanti;20.43;30.8
Mio_deh_Aliv_;Mio_deh;Miopetaurista dehmi ;17.5;18
Mio_deh_Wint_;Mio_deh;Miopetaurista dehmi ;16.9;20
Mio_gai_MLLg_85;Mio_gai;Miopetaurista gaillardi;7.246;11.608
Mio_lap_FSLX_65_399;Mio_lap;Miopetaurista lappi;13.65;16.9
Mio_neo_IPS_56468j;Mio_neo;Miopetaurista neogrivensis;11.6;11.6
Mio_sp._XXV_19549;Mio_sp.;Miopetaurista sp.;9.7;11.1
